DATE,W068RCQ027SBEA_PC1
1961-01-01,9.02775
1961-04-01,9.03559
1961-07-01,8.10985
1961-10-01,8.17011
1962-01-01,8.67259
1962-04-01,7.70700
1962-07-01,7.95274
1962-10-01,7.13101
1963-01-01,4.97449
1963-04-01,4.18426
1963-07-01,5.27629
1963-10-01,4.81802
1964-01-01,5.95452
1964-04-01,6.98623
1964-07-01,4.56178
1964-10-01,3.30903
1965-01-01,3.22136
1965-04-01,3.68866
1965-07-01,8.11454
1965-10-01,11.03160
1966-01-01,12.69942
1966-04-01,13.68948
1966-07-01,12.75912
1966-10-01,13.76919
1967-01-01,15.51281
1967-04-01,12.94317
1967-07-01,12.11786
1967-10-01,10.10079
1968-01-01,8.49441
1968-04-01,11.59340
1968-07-01,10.60413
1968-10-01,11.40041
1969-01-01,8.46412
1969-04-01,7.11281
1969-07-01,7.42672
1969-10-01,6.44219
1970-01-01,8.42144
1970-04-01,10.40309
1970-07-01,10.35146
1970-10-01,11.31431
1971-01-01,10.03075
1971-04-01,10.07436
1971-07-01,8.86805
1971-10-01,8.20212
1972-01-01,11.39595
1972-04-01,8.23218
1972-07-01,7.36506
1972-10-01,9.38650
1973-01-01,6.88459
1973-04-01,8.70896
1973-07-01,8.08109
1973-10-01,7.56860
1974-01-01,9.06853
1974-04-01,8.70881
1974-07-01,15.85430
1974-10-01,15.56254
1975-01-01,18.13020
1975-04-01,19.80023
1975-07-01,15.08623
1975-10-01,15.12637
1976-01-01,10.82018
1976-04-01,6.12086
1976-07-01,6.18645
1976-10-01,5.02509
1977-01-01,5.87697
1977-04-01,8.32917
1977-07-01,7.97322
1977-10-01,9.29369
1978-01-01,8.82899
1978-04-01,9.81071
1978-07-01,12.01194
1978-10-01,11.37345
1979-01-01,10.53715
1979-04-01,10.77667
1979-07-01,10.71273
1979-10-01,11.03208
1980-01-01,15.00406
1980-04-01,15.39160
1980-07-01,15.24062
1980-10-01,13.95139
1981-01-01,14.52567
1981-04-01,12.41974
1981-07-01,11.24132
1981-10-01,13.56715
1982-01-01,9.77817
1982-04-01,10.86730
1982-07-01,11.50762
1982-10-01,10.89097
1983-01-01,10.96175
1983-04-01,9.17276
1983-07-01,8.69264
1983-10-01,6.31791
1984-01-01,6.03031
1984-04-01,7.51025
1984-07-01,7.06730
1984-10-01,9.56714
1985-01-01,9.86041
1985-04-01,9.89566
1985-07-01,9.76411
1985-10-01,8.01510
1986-01-01,7.36167
1986-04-01,6.70582
1986-07-01,7.29048
1986-10-01,5.68702
1987-01-01,5.66400
1987-04-01,5.59439
1987-07-01,3.77669
1987-10-01,5.83965
1988-01-01,5.37588
1988-04-01,4.69575
1988-07-01,4.48189
1988-10-01,5.26523
1989-01-01,6.34939
1989-04-01,7.56022
1989-07-01,8.64044
1989-10-01,7.47818
1990-01-01,8.32359
1990-04-01,8.00924
1990-07-01,7.58873
1990-10-01,9.46019
1991-01-01,3.58252
1991-04-01,5.63832
1991-07-01,7.27808
1991-10-01,5.10361
1992-01-01,10.87300
1992-04-01,8.32456
1992-07-01,6.60294
1992-10-01,6.27991
1993-01-01,3.88202
1993-04-01,3.07522
1993-07-01,2.87811
1993-10-01,2.75772
1994-01-01,1.92703
1994-04-01,2.59387
1994-07-01,3.49591
1994-10-01,4.05855
1995-01-01,6.27863
1995-04-01,6.10494
1995-07-01,3.60986
1995-10-01,2.77800
1996-01-01,3.39046
1996-04-01,3.24364
1996-07-01,3.96409
1996-10-01,4.03319
1997-01-01,2.64242
1997-04-01,1.71991
1997-07-01,3.07813
1997-10-01,3.72975
1998-01-01,2.51422
1998-04-01,3.49981
1998-07-01,2.91691
1998-10-01,3.07756
1999-01-01,4.32863
1999-04-01,4.30023
1999-07-01,4.80870
1999-10-01,6.10476
2000-01-01,4.89085
2000-04-01,5.75255
2000-07-01,4.93424
2000-10-01,3.99310
2001-01-01,6.71423
2001-04-01,7.29923
2001-07-01,7.14133
2001-10-01,7.05424
2002-01-01,6.94424
2002-04-01,5.84745
2002-07-01,6.56224
2002-10-01,7.13921
2003-01-01,6.71284
2003-04-01,7.15056
2003-07-01,6.67986
2003-10-01,5.10154
2004-01-01,5.43577
2004-04-01,4.57083
2004-07-01,5.49035
2004-10-01,5.79417
2005-01-01,6.41708
2005-04-01,6.47772
2005-07-01,8.04184
2005-10-01,7.32059
2006-01-01,6.08256
2006-04-01,6.31699
2006-07-01,4.14421
2006-10-01,3.69525
2007-01-01,6.51893
2007-04-01,6.30102
2007-07-01,6.63234
2007-10-01,8.30575
2008-01-01,5.15917
2008-04-01,11.97509
2008-07-01,7.75254
2008-10-01,10.49832
2009-01-01,10.84618
2009-04-01,5.84948
2009-07-01,7.73382
2009-10-01,4.41500
2010-01-01,4.90735
2010-04-01,3.37723
2010-07-01,3.26529
2010-10-01,2.48826
2011-01-01,0.74126
2011-04-01,0.57724
2011-07-01,0.47125
2011-10-01,0.76748
2012-01-01,-0.20976
2012-04-01,-1.37605
2012-07-01,-0.31959
2012-10-01,-0.12008
2013-01-01,0.00451
2013-04-01,0.36133
2013-07-01,0.52285
2013-10-01,-0.06633
2014-01-01,1.17930
2014-04-01,2.18951
2014-07-01,3.09172
2014-10-01,3.62755
2015-01-01,3.51072
2015-04-01,1.43190
2015-07-01,2.97300
2015-10-01,2.70449
2016-01-01,3.37866
2016-04-01,4.30162
2016-07-01,3.00243
2016-10-01,3.46253
2017-01-01,3.01410
2017-04-01,3.51541
2017-07-01,3.62304
2017-10-01,3.61753
2018-01-01,4.31944
2018-04-01,5.55249
2018-07-01,4.96156
2018-10-01,5.27217
2019-01-01,5.52849
2019-04-01,4.88727
2019-07-01,4.94768
2019-10-01,5.23909
2020-01-01,4.25800
2020-04-01,50.62488
2020-07-01,32.60208
2020-10-01,14.20218
2021-01-01,44.44103
2021-04-01,-15.25788
2021-07-01,-7.33565
2021-10-01,1.51059
